lat,long,exx,eyy,exy,var_exx,var_eyy,var_exy,cc_xx_yy,cc_xx_xy,cc_yy_xy
-61.75,-54.9,5.83E+01,9.95E+00,-2.58E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,152.7,-5.13E+01,1.84E+02,1.36E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,153.3,-2.51E+02,5.09E+02,2.63E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,153.9,-1.44E+02,3.83E+02,1.93E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,154.5,-1.02E+02,2.09E+02,1.81E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,155.1,4.44E+01,2.46E+01,2.95E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,160.5,-2.03E+01,6.93E+01,-2.82E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,161.1,-1.54E+02,4.80E+01,-6.22E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-153.9,8.56E+02,3.30E+02,-5.34E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-153.3,8.65E+02,3.29E+02,-5.34E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-57.3,-7.42E+00,-3.98E+00,-5.60E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-56.7,-1.88E+01,5.65E+00,-1.15E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-56.1,-1.19E+02,2.25E+01,1.47E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-55.5,3.63E+01,-9.46E+00,4.46E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-54.9,6.43E+01,4.53E+00,-2.25E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-54.3,6.30E+00,2.33E+01,-3.03E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-53.7,6.46E+00,2.76E+01,-3.06E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-53.1,1.14E+01,2.61E+01,-2.65E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-52.5,1.40E+01,2.21E+01,-2.03E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-51.9,7.48E+00,7.86E+00,-1.01E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-38.1,4.22E+00,2.36E+01,1.59E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-37.5,9.06E-01,4.72E+01,-9.28E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-36.9,-1.37E+00,4.58E+01,-9.06E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-36.3,8.80E-01,4.60E+01,-1.08E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-35.7,7.51E-01,4.24E+01,-1.17E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-35.1,1.58E+00,2.76E+01,-8.17E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-34.5,-3.86E-01,2.77E+01,-3.63E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-33.9,-4.88E+00,1.38E+01,-1.04E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-26.7,-7.43E+00,-1.11E+00,-4.08E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-26.1,-4.37E+00,-1.84E-01,-8.20E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-25.5,-2.53E+00,1.48E+00,-1.08E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-24.9,-1.51E+00,3.37E+00,-1.23E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-24.3,-1.63E+00,6.04E+00,-1.31E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-23.7,-1.68E+00,8.46E+00,-1.47E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-23.1,-1.17E+00,9.68E+00,-1.59E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-22.5,-4.41E-03,1.03E+01,-1.69E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-21.9,1.59E+00,9.17E+00,-1.65E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-21.3,3.44E+00,8.15E+00,-1.47E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-20.7,5.03E+00,8.07E+00,-1.18E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-20.1,5.54E+00,8.17E+00,-7.57E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.25,-19.5,5.19E+00,4.17E+00,-5.37E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,152.1,-1.26E+02,2.75E+02,1.84E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,152.7,-2.82E+02,6.21E+02,2.50E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
